end_time,id,spot_id,start_time,status,total_cost,user_id
2025-11-11 07:47:25.478661,1,1,2025-11-11 07:47:09.763403,completed,,2
2025-11-11 07:55:23.079006,2,1,2025-11-11 07:55:18.579936,completed,,2
2025-11-11 07:58:52.179902,3,1,2025-11-11 07:58:48.136961,completed,,2
2025-10-15 12:00:00,4,11,2025-10-15 10:00:00,completed,50.00,2
2025-11-11 09:15:27.006309,5,11,2025-11-11 09:15:20.717481,completed,50.00,2
2025-11-11 13:25:49.613188,6,11,2025-11-11 13:24:22.333261,completed,50.00,2
2025-11-11 13:29:36.962766,7,21,2025-11-11 13:29:16.114301,completed_by_admin,50.00,2
2025-11-13 04:20:21.304164,8,11,2025-11-11 16:18:52.196746,completed,1850.00,2
2025-11-13 04:55:27.507591,9,32,2025-11-13 04:54:29.377040,cancelled,,2
2025-11-13 05:34:53.496046,10,1,2025-11-13 04:55:32.324854,completed,50.00,2
2025-11-13 05:36:10.164178,11,21,2025-11-13 05:35:32.629867,completed_by_admin,50.00,2
2025-11-14 06:37:23.578990,12,11,2025-11-13 05:55:09.166529,cancelled,,2
,13,21,2025-11-14 06:38:19.239118,active,,2
